country,region_id,region_name,risk_zone,n_years,one_bad_year_applied,lr_std_30yr_pct,lr_std_5yr_pct,lr_std_pricing_pct,lr_full_pricing_pct,premium_std_0pct,premium_std_eur_ha,premium_std_50pct,premium_full_0pct,premium_full_eur_ha,lr_pricing_pct,lr_full_mean_pct,lr_30yr_pct,one_bad_year,worst_year,lr_std_max_pct,gross_premium_eur_ha,commercial_premium_eur_ha,lr_50pct_deductible_pct,premium_50pct_eur_ha,lr_5yr_pct,premium_eur_ha
HU,HU-BA,Baranya,Z2,3,,,,,,,,,,,25.43,5.57,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-BE,Békés,Z1,3,,,,,,,,,,,25.43,7.3,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-BK,Bács-Kiskun,Z1,3,,,,,,,,,,,41.48,26.98,41.48,1,1997,35.89,39.82,51.77,20.74,19.91,,39.83
HU,HU-BO,Borsod,Z1,3,,,,,,,,,,,25.43,5.62,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-CS,Csongrád-Csanád,Z1,3,,,,,,,,,,,25.68,5.91,25.68,1,1995,1.47,24.65,32.04,12.84,12.33,,24.65
HU,HU-FE,Fejér,Z2,3,,,,,,,,,,,25.43,5.57,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-GS,Győr-Moson-Sopron,Z3,3,,,,,,,,,,,25.43,7.15,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-HB,Hajdú-Bihar,Z1,3,,,,,,,,,,,25.43,5.57,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-HE,Heves,Z2,3,,,,,,,,,,,25.43,5.57,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-JN,Jász-Nagykun-Szolnok,Z1,3,,,,,,,,,,,25.46,7.2,25.46,1,1995,1.05,24.44,31.77,12.73,12.22,,24.44
HU,HU-KE,Komárom-Esztergom,Z2,3,,,,,,,,,,,25.43,7.15,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-NO,Nógrád,Z2,3,,,,,,,,,,,25.43,5.57,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-PE,Pest,Z2,3,,,,,,,,,,,25.43,7.15,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-SO,Somogy,Z3,3,,,,,,,,,,,39.32,25.67,39.32,1,1997,35.89,37.75,49.08,19.66,18.87,,37.74
HU,HU-SZ,Szabolcs-Szatmár-Bereg,Z1,3,,,,,,,,,,,37.83,23.69,37.83,1,1997,29.93,36.32,47.22,18.92,18.16,,36.31
HU,HU-TO,Tolna,Z2,3,,,,,,,,,,,28.76,10.01,28.76,1,1997,13.66,27.61,35.89,14.38,13.8,,27.61
HU,HU-VA,Vas,Z3,3,,,,,,,,,,,25.43,7.15,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-VE,Veszprém,Z3,3,,,,,,,,,,,25.43,5.57,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
HU,HU-ZA,Zala,Z3,3,,,,,,,,,,,25.43,7.15,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-JC,South Bohemia,Z2,3,,,,,,,,,,,25.43,7.07,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-JM,South Moravia,Z2,3,,,,,,,,,,,25.43,5.61,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
CZ,CZ-KA,Karlovy Vary,Z3,3,,,,,,,,,,,25.43,7.38,25.43,1,1995,1.05,24.41,31.73,12.72,12.21,,24.41
