Main crops, Type of ownership , Macroregions  development regions and counties, Years, MU: Hectares, Valoare
Rapeseed, Total, Bistrita-Nasaud, Year 2020, Hectares, 51
Rapeseed, Total, Bistrita-Nasaud, Year 2021, Hectares, 61
Rapeseed, Total, Bistrita-Nasaud, Year 2022, Hectares, 75
Rapeseed, Total, Bistrita-Nasaud, Year 2023, Hectares, 148
Rapeseed, Total, Bistrita-Nasaud, Year 2024, Hectares, 221
Rapeseed, Total, Botosani, Year 1990, Hectares, 305
Rapeseed, Total, Botosani, Year 1991, Hectares, 40
Rapeseed, Total, Botosani, Year 1992, Hectares, 447
Rapeseed, Total, Botosani, Year 1993, Hectares, 515
Rapeseed, Total, Botosani, Year 1995, Hectares, 50
Rapeseed, Total, Botosani, Year 1998, Hectares, 1034
Rapeseed, Total, Botosani, Year 1999, Hectares, 2086
Rapeseed, Total, Botosani, Year 2000, Hectares, 139
Rapeseed, Total, Botosani, Year 2001, Hectares, 199
Rapeseed, Total, Botosani, Year 2002, Hectares, 447
Rapeseed, Total, Botosani, Year 2004, Hectares, 308
Rapeseed, Total, Botosani, Year 2005, Hectares, 232
Rapeseed, Total, Botosani, Year 2006, Hectares, 167
Rapeseed, Total, Botosani, Year 2007, Hectares, 3503
Rapeseed, Total, Botosani, Year 2008, Hectares, 3862
Rapeseed, Total, Botosani, Year 2009, Hectares, 6494
Rapeseed, Total, Botosani, Year 2010, Hectares, 3596
Rapeseed, Total, Botosani, Year 2011, Hectares, 5918
Rapeseed, Total, Botosani, Year 2012, Hectares, 1504
Rapeseed, Total, Botosani, Year 2013, Hectares, 2748
Rapeseed, Total, Botosani, Year 2014, Hectares, 5723
Rapeseed, Total, Botosani, Year 2015, Hectares, 3725
Rapeseed, Total, Botosani, Year 2016, Hectares, 3789
Rapeseed, Total, Botosani, Year 2017, Hectares, 5084
Rapeseed, Total, Botosani, Year 2018, Hectares, 5724
Rapeseed, Total, Botosani, Year 2019, Hectares, 4999
Rapeseed, Total, Botosani, Year 2020, Hectares, 4567
Rapeseed, Total, Botosani, Year 2021, Hectares, 8306
Rapeseed, Total, Botosani, Year 2022, Hectares, 8788
Rapeseed, Total, Botosani, Year 2023, Hectares, 12474
Rapeseed, Total, Botosani, Year 2024, Hectares, 11716
Rapeseed, Total, Gorj, Year 1990, Hectares, 699
Rapeseed, Total, Gorj, Year 2006, Hectares, 10
Rapeseed, Total, Gorj, Year 2011, Hectares, 11
Rapeseed, Total, Gorj, Year 2014, Hectares, 10
Rapeseed, Total, Gorj, Year 2018, Hectares, 31
Rapeseed, Total, Gorj, Year 2023, Hectares, 0
Rapeseed, Total, Gorj, Year 2024, Hectares, 0
Rapeseed, Total, Calarasi, Year 1990, Hectares, 145
Rapeseed, Total, Calarasi, Year 1991, Hectares, 232
Rapeseed, Total, Calarasi, Year 1992, Hectares, 162
Rapeseed, Total, Calarasi, Year 1993, Hectares, 238
Rapeseed, Total, Calarasi, Year 1995, Hectares, 98
Rapeseed, Total, Calarasi, Year 1996, Hectares, 1032
Rapeseed, Total, Calarasi, Year 1997, Hectares, 2211
Rapeseed, Total, Calarasi, Year 1998, Hectares, 2842
Rapeseed, Total, Calarasi, Year 1999, Hectares, 10405
Rapeseed, Total, Calarasi, Year 2000, Hectares, 10116
Rapeseed, Total, Calarasi, Year 2001, Hectares, 14290
Rapeseed, Total, Calarasi, Year 2002, Hectares, 3229
Rapeseed, Total, Calarasi, Year 2003, Hectares, 1343
