Main crops, Type of ownership , Macroregions  development regions and counties, Years, MU: Hectares, Valoare
Rapeseed, Total, Timis, Year 2000, Hectares, 898
Rapeseed, Total, Timis, Year 2001, Hectares, 157
Rapeseed, Total, Timis, Year 2002, Hectares, 447
Rapeseed, Total, Timis, Year 2003, Hectares, 722
Rapeseed, Total, Timis, Year 2004, Hectares, 839
Rapeseed, Total, Timis, Year 2005, Hectares, 439
Rapeseed, Total, Timis, Year 2006, Hectares, 639
Rapeseed, Total, Timis, Year 2007, Hectares, 4867
Rapeseed, Total, Timis, Year 2008, Hectares, 6265
Rapeseed, Total, Timis, Year 2009, Hectares, 8577
Rapeseed, Total, Timis, Year 2010, Hectares, 11143
Rapeseed, Total, Timis, Year 2011, Hectares, 16027
Rapeseed, Total, Timis, Year 2012, Hectares, 2100
Rapeseed, Total, Timis, Year 2013, Hectares, 6308
Rapeseed, Total, Timis, Year 2014, Hectares, 9472
Rapeseed, Total, Timis, Year 2015, Hectares, 10051
Rapeseed, Total, Timis, Year 2016, Hectares, 8887
Rapeseed, Total, Timis, Year 2017, Hectares, 25213
Rapeseed, Total, Timis, Year 2018, Hectares, 27339
Rapeseed, Total, Timis, Year 2019, Hectares, 16312
Rapeseed, Total, Timis, Year 2020, Hectares, 24784
Rapeseed, Total, Timis, Year 2021, Hectares, 33525
Rapeseed, Total, Timis, Year 2022, Hectares, 38708
Rapeseed, Total, Timis, Year 2023, Hectares, 42617
Rapeseed, Total, Timis, Year 2024, Hectares, 40191
Rapeseed, Total, Bucharest Municipality, Year 2002, Hectares, 30
Rapeseed, Total, Bucharest Municipality, Year 2003, Hectares, 28
Rapeseed, Total, Bucharest Municipality, Year 2004, Hectares, 60
Rapeseed, Total, Bucharest Municipality, Year 2005, Hectares, 50
Rapeseed, Total, Bucharest Municipality, Year 2009, Hectares, 1
Rapeseed, Total, Bucharest Municipality, Year 2010, Hectares, 2
Rapeseed, Total, Bucharest Municipality, Year 2021, Hectares, 3
Rapeseed, Total, Bucharest Municipality, Year 2023, Hectares, 0
Rapeseed, Total, Bucharest Municipality, Year 2024, Hectares, 0
Rapeseed, Total, Galati, Year 1998, Hectares, 923
Rapeseed, Total, Galati, Year 1999, Hectares, 1664
Rapeseed, Total, Galati, Year 2000, Hectares, 1112
Rapeseed, Total, Galati, Year 2001, Hectares, 1113
Rapeseed, Total, Galati, Year 2002, Hectares, 4005
Rapeseed, Total, Galati, Year 2003, Hectares, 230
Rapeseed, Total, Galati, Year 2004, Hectares, 1860
Rapeseed, Total, Galati, Year 2005, Hectares, 3688
Rapeseed, Total, Galati, Year 2006, Hectares, 5774
Rapeseed, Total, Galati, Year 2007, Hectares, 20151
Rapeseed, Total, Galati, Year 2008, Hectares, 15620
Rapeseed, Total, Galati, Year 2009, Hectares, 21952
Rapeseed, Total, Galati, Year 2010, Hectares, 29493
Rapeseed, Total, Galati, Year 2011, Hectares, 22513
Rapeseed, Total, Galati, Year 2012, Hectares, 1108
Rapeseed, Total, Galati, Year 2013, Hectares, 6569
Rapeseed, Total, Galati, Year 2014, Hectares, 16167
Rapeseed, Total, Galati, Year 2015, Hectares, 4859
Rapeseed, Total, Galati, Year 2016, Hectares, 16423
Rapeseed, Total, Galati, Year 2017, Hectares, 20970
Rapeseed, Total, Galati, Year 2018, Hectares, 23127
Rapeseed, Total, Galati, Year 2019, Hectares, 9974
Rapeseed, Total, Galati, Year 2020, Hectares, 10120
Rapeseed, Total, Galati, Year 2021, Hectares, 11297
Rapeseed, Total, Galati, Year 2022, Hectares, 6717
Rapeseed, Total, Galati, Year 2023, Hectares, 17853
Rapeseed, Total, Galati, Year 2024, Hectares, 11665
Rapeseed, Total, Harghita, Year 2006, Hectares, 12
Rapeseed, Total, Harghita, Year 2007, Hectares, 66
Rapeseed, Total, Harghita, Year 2011, Hectares, 5
Rapeseed, Total, Harghita, Year 2014, Hectares, 4
Rapeseed, Total, Harghita, Year 2015, Hectares, 12
Rapeseed, Total, Harghita, Year 2016, Hectares, 4
Rapeseed, Total, Harghita, Year 2017, Hectares, 11
Rapeseed, Total, Harghita, Year 2018, Hectares, 19
Rapeseed, Total, Harghita, Year 2019, Hectares, 38
Rapeseed, Total, Harghita, Year 2020, Hectares, 41
Rapeseed, Total, Harghita, Year 2023, Hectares, 2
Rapeseed, Total, Harghita, Year 2024, Hectares, 0
Rapeseed, Total, Mures, Year 1992, Hectares, 1
Rapeseed, Total, Mures, Year 1993, Hectares, 4
Rapeseed, Total, Mures, Year 1996, Hectares, 24
Rapeseed, Total, Mures, Year 1998, Hectares, 10
Rapeseed, Total, Mures, Year 1999, Hectares, 47
Rapeseed, Total, Mures, Year 2000, Hectares, 33
Rapeseed, Total, Mures, Year 2005, Hectares, 20
Rapeseed, Total, Mures, Year 2006, Hectares, 4
Rapeseed, Total, Mures, Year 2007, Hectares, 303
Rapeseed, Total, Mures, Year 2008, Hectares, 50
Rapeseed, Total, Mures, Year 2009, Hectares, 393
Rapeseed, Total, Mures, Year 2010, Hectares, 850
Rapeseed, Total, Mures, Year 2011, Hectares, 1094
Rapeseed, Total, Mures, Year 2012, Hectares, 382
Rapeseed, Total, Mures, Year 2013, Hectares, 1353
Rapeseed, Total, Mures, Year 2014, Hectares, 2772
Rapeseed, Total, Mures, Year 2015, Hectares, 2763
Rapeseed, Total, Mures, Year 2016, Hectares, 3760
Rapeseed, Total, Mures, Year 2017, Hectares, 3464
Rapeseed, Total, Mures, Year 2018, Hectares, 3636
Rapeseed, Total, Mures, Year 2019, Hectares, 3756
Rapeseed, Total, Mures, Year 2020, Hectares, 3456
Rapeseed, Total, Mures, Year 2021, Hectares, 4623
Rapeseed, Total, Mures, Year 2022, Hectares, 3714
Rapeseed, Total, Mures, Year 2023, Hectares, 5210
Rapeseed, Total, Mures, Year 2024, Hectares, 6574
Rapeseed, Total, Tulcea, Year 1998, Hectares, 1110
Rapeseed, Total, Tulcea, Year 1999, Hectares, 2900
Rapeseed, Total, Tulcea, Year 2000, Hectares, 3370
Rapeseed, Total, Tulcea, Year 2001, Hectares, 3254
Rapeseed, Total, Tulcea, Year 2002, Hectares, 4970
Rapeseed, Total, Tulcea, Year 2003, Hectares, 645
Rapeseed, Total, Tulcea, Year 2004, Hectares, 2095
Rapeseed, Total, Tulcea, Year 2005, Hectares, 5951
Rapeseed, Total, Tulcea, Year 2006, Hectares, 6283
Rapeseed, Total, Tulcea, Year 2007, Hectares, 17854
Rapeseed, Total, Tulcea, Year 2008, Hectares, 32795
Rapeseed, Total, Tulcea, Year 2009, Hectares, 38254
Rapeseed, Total, Tulcea, Year 2010, Hectares, 51447
Rapeseed, Total, Tulcea, Year 2011, Hectares, 37267
Rapeseed, Total, Tulcea, Year 2012, Hectares, 6510
Rapeseed, Total, Tulcea, Year 2013, Hectares, 9643
Rapeseed, Total, Tulcea, Year 2014, Hectares, 18487
Rapeseed, Total, Tulcea, Year 2015, Hectares, 14165
Rapeseed, Total, Tulcea, Year 2016, Hectares, 22696
Rapeseed, Total, Tulcea, Year 2017, Hectares, 25161
Rapeseed, Total, Tulcea, Year 2018, Hectares, 27773
Rapeseed, Total, Tulcea, Year 2019, Hectares, 10317
Rapeseed, Total, Tulcea, Year 2020, Hectares, 16371
Rapeseed, Total, Tulcea, Year 2021, Hectares, 9754
Rapeseed, Total, Tulcea, Year 2022, Hectares, 12799
Rapeseed, Total, Tulcea, Year 2023, Hectares, 22740
Rapeseed, Total, Tulcea, Year 2024, Hectares, 10181
Rapeseed, Total, Sibiu, Year 1999, Hectares, 52
Rapeseed, Total, Sibiu, Year 2002, Hectares, 25
Rapeseed, Total, Sibiu, Year 2003, Hectares, 25
Rapeseed, Total, Sibiu, Year 2006, Hectares, 124
Rapeseed, Total, Sibiu, Year 2007, Hectares, 502
Rapeseed, Total, Sibiu, Year 2008, Hectares, 544
Rapeseed, Total, Sibiu, Year 2009, Hectares, 247
Rapeseed, Total, Sibiu, Year 2010, Hectares, 395
Rapeseed, Total, Sibiu, Year 2011, Hectares, 272
Rapeseed, Total, Sibiu, Year 2012, Hectares, 182
Rapeseed, Total, Sibiu, Year 2013, Hectares, 482
Rapeseed, Total, Sibiu, Year 2014, Hectares, 588
Rapeseed, Total, Sibiu, Year 2015, Hectares, 486
Rapeseed, Total, Sibiu, Year 2016, Hectares, 763
Rapeseed, Total, Sibiu, Year 2017, Hectares, 523
Rapeseed, Total, Sibiu, Year 2018, Hectares, 508
Rapeseed, Total, Sibiu, Year 2019, Hectares, 398
Rapeseed, Total, Sibiu, Year 2020, Hectares, 1226
Rapeseed, Total, Sibiu, Year 2021, Hectares, 2012
Rapeseed, Total, Sibiu, Year 2022, Hectares, 982
Rapeseed, Total, Sibiu, Year 2023, Hectares, 1151
Rapeseed, Total, Sibiu, Year 2024, Hectares, 2236
Rapeseed, Total, Vrancea, Year 1999, Hectares, 199
Rapeseed, Total, Vrancea, Year 2000, Hectares, 195
Rapeseed, Total, Vrancea, Year 2001, Hectares, 446
Rapeseed, Total, Vrancea, Year 2002, Hectares, 1632
Rapeseed, Total, Vrancea, Year 2003, Hectares, 55
Rapeseed, Total, Vrancea, Year 2004, Hectares, 70
Rapeseed, Total, Vrancea, Year 2005, Hectares, 848
Rapeseed, Total, Vrancea, Year 2006, Hectares, 1554
Rapeseed, Total, Vrancea, Year 2007, Hectares, 2383
Rapeseed, Total, Vrancea, Year 2008, Hectares, 3100
Rapeseed, Total, Vrancea, Year 2009, Hectares, 3560
Rapeseed, Total, Vrancea, Year 2010, Hectares, 4333
Rapeseed, Total, Vrancea, Year 2011, Hectares, 4776
Rapeseed, Total, Vrancea, Year 2012, Hectares, 1085
Rapeseed, Total, Vrancea, Year 2013, Hectares, 3159
Rapeseed, Total, Vrancea, Year 2014, Hectares, 3848
Rapeseed, Total, Vrancea, Year 2015, Hectares, 2649
Rapeseed, Total, Vrancea, Year 2016, Hectares, 3506
Rapeseed, Total, Vrancea, Year 2017, Hectares, 3518
Rapeseed, Total, Vrancea, Year 2018, Hectares, 1906
Rapeseed, Total, Vrancea, Year 2019, Hectares, 890
Rapeseed, Total, Vrancea, Year 2020, Hectares, 1264
Rapeseed, Total, Vrancea, Year 2021, Hectares, 2239
Rapeseed, Total, Vrancea, Year 2022, Hectares, 1772
Rapeseed, Total, Vrancea, Year 2023, Hectares, 6338
Rapeseed, Total, Vrancea, Year 2024, Hectares, 4802
